website,email,phone,contacts.vk,contacts.instagram,contacts.facebook,avatar,schedule,label,location,metroStation,category,price.title,rating,parking,equipment,novice,children,description,workTime,facilities,special
http://musorgskiy.music.mos.ru/,dmshmusorgskogo@culture.mos.ru,84956291010,,,,https://musorgskiy.music.mos.ru/local/templates/tpk_main/html/pic/logo/1.png,https://musorgskiy.music.mos.ru/education_activities/schedule/,ГБУДО г. Москвы «Детская музыкальная школа имени М.П. Мусоргского»,"Лесная улица, 19",Тимирязевская,music,500,0,true,false,true,true,Государственное бюджетное учреждение дополнительного образования города Москвы «Детская музыкальная школа имени М.П.Мусоргского»,"

пн-пт 10:00-19:00",,
http://vestadance.ru,info@vestadance.ru,48948671930,http://vk.com/vestaclub,,http://www.facebook.com/VestaDance,https://sun1-84.userapi.com/uT2XDi-niIn_XDQu5scv4AhGkw18tEO3Ew16nQ/6CZpc9BZNiw.jpg?ava=1,,"Школа танцев Vesta, обучение танцам, уроки танцев в группе и инивидуально, залы в аренду.","Лесная улица, 20",Тимирязевская,dance,500,0,true,false,true,true,"Школа танцев Веста приглашает в увлекательный мир танца.
Танцы – это вид активного отдыха, подходящий человеку любого возраста. Научиться танцевать
 и развивать это умение в дальнейшем – большой плюс не только для 
здоровья, но и для морального удовлетворения. В школе танцев «Веста» 
каждый может найти себе преподавателя и единомышленника (или партнера).","пн-cр 11:00-16:00, пт 14:00-17:00",,
http://www.nataliasubocheva.ru,info@nataliasubocheva.ru,,https://vk.com,https://instagram.com,https://facebook.com,http://www.nataliasubocheva.ru/storage/logo/u-7f484dd319094d416ad052e87cebb0b5.png,,Субочева Наталья: онлайн курс коммерческой иллюстрации,"Лесная улица, 21",Тимирязевская,art,500,0,true,false,true,true,Уточняйте на сайте.,пн-чт 9:00-16:00,,
http://sport-93.ru,s93@mossport.ru,84957884060,,,,http://sport-93.ru/thumb/2/x5VSPnWsN3m0Z2XbR1T8Jg/86r115/d/logo_0.png,,Государственное бюджетное учреждение Спортивная школа 93 Москомспорта,"Лесная улица, 22",Тимирязевская,sport_wrestling,500,0,true,false,true,true,"Сейчас
 на базе ГБУ «СШ № 93 «На Можайке» Москомспорта работают шесть отделений
 по четырем олимпийским видам спорта: настольный теннис, художественная 
гимнастика, лыжные гонки, бокс и отделений по спорту лиц с поражением 
ОДА (настольный теннис) и по спорту глухих (лыжные гонки). адаптивное отделение для лиц с ограниченными возможностями по настольному теннису и лыжным гонкам.  Занятия проводятся бесплатно. На  сайте подробно представлено каждое отделение Спортивной школы № 93 «На Можайке»",пн-cб 10:00-19:00,"Раздевалка, Душ",
https://badminton-vdnh.ru,badm-vdnh@yandex.ru,89164045494,https://vk.com/id340899568,https://www.instagram.com/badminton_club_vdnx/,https://www.facebook.com/badminton5.ru/,https://www.badminton-vdnh.ru/images/tild6361-3263-4266-b432-333331373232__group_8.png,,Бадминтон в Москве,Бауманская ул. д.15,Тимирязевская,sport_game,500,0,true,false,true,true,"Бадминтон в Москве 
для Вашего здоровья Групповые и индивидуальные занятия для новичков и опытных игроков каждый день с 20 до 23 часов по цене 700 рублей за 3 часа + 2 волана 
Нет ракетки или воланов?
Приходите, на первое занятие выдадим БЕСПЛАТНО!",пн-чт 9:00-16:00,Раздевалка,Ракетки и волна на первом занятии бесплатно
http://ostrouhovaolga.ru/?cat=176,info@ostrouhovaolga.ru,89151102111,http://vk.com/ostrouhovaolga_danceschool,,https://www.facebook.com/dzheki.champion,https://sun1-98.userapi.com/c851220/v851220351/1ba622/g7n0lQEVYdA.jpg?ava=1,https://ostrouhovaolga.ru/school/raspisanie/,Школа танцев Остроуховой Ольги,Бауманская ул. д.16,Тимирязевская,dance,500,0,true,false,true,true,"Школа танцев Остроуховой Ольги основана 1 июня 2012 г.
Основатель школы Остроухова Ольга: 5-ти кратная Чемпионка Мира по 
акробатическим танцам, Чемпионка России и Мира по стрип шоу, Чемпионка 
Мира по стриппластике, гоу гоу и дискофрийстайлу, чемпионка России и 
Европы по джазу. В нашей школе большой акцент направлен на такие виды 
занятий как: стретчинг (растяжка), акробатические танцы, акробатика для 
начинающих, стриппластику и укреплению мышц (подкачка). А также есть и 
другие направления с которыми вы можете ознакомиться в расписании. В 
нашей школе сильный педагогический состав, который найдёт индивидуальный
 подход к каждому ученику.","

пн-пт 10:00-19:00",Раздевалка,Первое занятие бесплатно
http://molchanov.music.mos.ru,dmshmolchanova@culture.mos.ru,84954513165,,,,https://molchanov.music.mos.ru/local/templates/tpk_main/html/pic/logo/1.png,https://molchanov.music.mos.ru/education_activities/schedule/,ГБУДО г. Москвы «Детская музыкальная школа имени К.В. Молчанова»,Бауманская ул. д.17,Тимирязевская,music,500,0,true,false,true,true,Детская музыкальная школа имени К.В.Молчанова,"

пн-пт 10:00-19:00",,
http://radchenko.music.mos.ru/,ms-radchenko@yandex.ru,84957777777,,,,https://radchenko.music.mos.ru/local/templates/tpk_main/html/pic/logo/1.png,https://radchenko.music.mos.ru/education_activities/schedule/,ГБУДО г. Москвы «Детская музыкально-хоровая школа имени И.И. Радченко»,Бауманская ул. д.18,Тимирязевская,music,500,0,true,false,true,true,ГБУДО г. Москвы «Детская музыкально – хоровая школа имени И. И. Радченко»,пн-cб 10:00-20:00,,
http://www.chuan-shu.ru,czyzhan@gmail.com,89684621202,https://vk.com/club38342436,,,https://sun9-65.userapi.com/c840524/v840524172/5f372/nBkQ-WrRbbo.jpg?ava=1,,Клуб боевых искусств Чуань-Шу 拳術 Цзыжань-Мэнь 自然 門 (кунг-фу 功夫),Бауманская ул. д.19,Тимирязевская,sport_wrestling,500,0,true,false,true,true,"Кунг фу. Клуб
 китайских боевых искусств  拳術   CHUAN-SHU проводит обучение стилю 自然 門 
ЦЗЫЖАНЬ-МЭНЬ. Занятия в клубе проводятся ежедневно, без перерыва на 
летний период. Занятия проходят в небольших группах, что позволяет 
уделять внимание каждому ученику школы. Взрослые (мужские и женские) и 
детские группы.
Продолжительность занятий ушу для взрослых - 2 часа 30 минут (мужские группы) и 1 час 30 минут (женские и детские группы)","пн-ср 10:00-16:30, чт: 12:00-16:30, пт: 12:00-14:00","Раздевалка, Душ",
http://74.music.mos.ru,uslugi@mos.ru,84951059789,,,,https://74.music.mos.ru/local/templates/tpk_main/html/pic/logo/1.png,https://74.music.mos.ru/education_activities/schedule/,ГБУДО г. Москвы «Детская музыкальная школа №74»,Бауманская ул. д.20,Тимирязевская,music,500,0,true,false,true,true,Государственное бюджетное  учреждение дополнительного образования  города Москвы «Детская музыкальная школа № 74»,пн-вс 10:00-15:00,,
http://sdushor56-basket.ru/,info@mbabasket.pro,84954677357,,,,http://sdushor56-basket.ru/img/basket/basket3.gif,,БАСКЕТБОЛЬНАЯ ШКОЛА СДЮCШОР №56,Бауманская ул. д.21,Тимирязевская,sport_game,500,0,true,false,true,true,"Государственное бюджетное учреждение
""Спортивная школа олимпийского резерва №56""
Департамента физической культуры и спорта города Москвы",пн-cб 10:00-19:00,"Раздевалка, Душ",
http://www.virgo-show.com/,virgo-show@mail.ru,89166250796,https://vk.com/virgoshow,https://www.instagram.com/ballet_virgo_show/,https://www.facebook.com/groups/715851365126338/?pnref=story,"https://static.wixstatic.com/media/bfe9f1_326659771f794bc1b8f9826ac53d0f23.jpg/v1/fit/w_2500,h_1330,al_c/bfe9f1_326659771f794bc1b8f9826ac53d0f23.jpg",,Шоу балет | Шоу балет VIRGO Show,3-я мытищинская д.3 стр.1,Алексеевская,dance,500,0,true,false,true,false,"VIRGO SHOW - это команда молодых амбициозных профессионалов!
Мы любим интересные творческие задачи и всегда готовы воплотить любые Ваши смелые идеи!",пн-вс 10:00-17:00,Раздевалка,
http://musicschool.moscow,info@ms4a.ru,89636812081,https://vk.com/away.php?to=https%3A%2F%2Fgoo.gl%2Fforms%2FWA9Vf32cfBeze8OC3&post=-40882798_1474&cc_key=,,https://www.facebook.com/groups/musicschool.moscow,http://musicschool.moscow/sites/default/files/logo-r.png,http://musicschool.moscow/raspisanie,Музыкальная школа для взрослых Екатерины Заборонок,3-я мытищинская д.3 стр.3,,music,500,0,true,false,true,false,"Московская музыкальная школа для взрослых Екатерины Заборонок дает  возможность любому взрослому человеку без музыкального образования и  музыкального опыта научиться музыке с нуля. Мы научим вас за 1 год петь, и рать на музыкальных инструментах,  понимать и писать музыку. Наши методики базируются на профессиональных  знаниях, традициях и лучших современных достижениях в области музыки. С  помощью этих методик мы научим вас петь и создавать музыку. Наша миссия: Научиться музыке сможет каждый. Это уникальное предложение, которое не предоставляет ни одно музыкальное  учреждение. 

                      ","пн-ср 10:00-16:30, чт: 12:00-16:30, пт: 12:00-14:00",,"Первое занятие бесплатно, гарантия результата за 1 год"
https://terball.ru/pingpong,inbox@terball.ru,84950551981,https://vk.com/terball,https://www.instagram.com/terball.ru/,https://www.facebook.com/terball.ru,https://terball.ru/sites/all/themes/terball/images/general/logo.svg,https://terball.ru/calendar,Настольный теннис,"Москва, ул. Шарикоподшипниковская, 13 стр. 24",Дубровка,sport_game,500,0,true,false,true,false,"Настольный теннис. Территория для любителей и профессиональных 
игроков в настольный теннис, которые играют, когда-то играли и хотят 
вспомнить свои былые навыки или желают научиться играть в пинг-понг.
        
      
    
  ",пн-чт 9:00-16:00,Раздевалка,
http://www.championika.ru/,pr@championika.ru,89261835398,,,,https://championika.ru/_img/logo.png,,"Занятия футболом для детей в Москве, тренировки для детей по футболу в Чемпионике","Москва, ул. Шарикоподшипниковская, 13 стр. 25",,sport_game,500,0,true,false,true,false,"Занятия футболом для детей от 3 лет                       
Более 50 000 детей уже посетили тренировки
в более чем 500 точках в 120 городах в России и других странах                                                ",пн-вс 10:00-15:00,,
http://www.Boxing80.ru,,89651008080,https://m.vk.com/club68898966,http://www.instagram.com/boxing80_academy/,http://facebook.com/boxing80.ru/,http://boxing80.ru/wp-content/uploads/2017/08/IMG_6187.jpg,,АКАДЕМИЯ БОКСА — Олимпийская деревня-80,"мичуринский проспект, олимпийская деревня дом.2",Юго-Западная,sport_wrestling,500,0,true,false,true,false,Уточняйте на сайте.,пн-пт 10:00-19:00,,
